filename,instance_idx,keypoint,d_px,area_px
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26,0,AOI,2.400122852,11007.5
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26,0,BL2,5.145176366,11007.5
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26,0,IS2,2.319483406,11007.5
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26,0,IAC,3.493212459,11007.5
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26,0,IS1,2.498060255,11007.5
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26,0,BL1,10.81031739,11007.5
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5,0,AOI,3.076482082,14681.2
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5,0,BL2,3.057778203,14681.2
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5,0,IS2,0.5318897149,14681.2
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5,0,IAC,0.896412408,14681.2
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5,0,IS1,1.86669283,14681.2
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5,0,BL1,3.304622918,14681.2
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2,0,AOI,3.668279023,9669.6
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2,0,BL2,5.097464944,9669.6
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2,0,IS2,5.112688237,9669.6
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2,0,IAC,3.916769742,9669.6
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2,0,IS1,4.651830868,9669.6
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2,0,BL1,21.66497278,9669.6
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7,0,AOI,8.447285584,12061.5
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7,0,BL2,8.300452511,12061.5
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7,0,IS2,10.02518894,12061.5
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7,0,IAC,2.616700122,12061.5
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7,0,IS1,7.480383372,12061.5
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7,0,BL1,22.20746366,12061.5
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,AOI,1.524809576,11191.95
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,BL2,45.48228063,11191.95
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,IS2,5.428830012,11191.95
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,IAC,4.618766079,11191.95
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,IS1,4.647829438,11191.95
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,BL1,5.963986121,11191.95
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,AOI,2.201083946,12304.6
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,BL2,3.53633732,12304.6
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,IS2,2.790910317,12304.6
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,IAC,6.241867038,12304.6
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,IS1,4.583603603,12304.6
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,BL1,7.833073235,12304.6
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,AOI,4.213469842,15423.25
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,BL2,4.753439686,15423.25
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,IS2,2.865096566,15423.25
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,IAC,1.03801864,15423.25
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,IS1,0.4300668882,15423.25
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,BL1,6.951367752,15423.25
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,AOI,1.515808044,7199.5
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,BL2,14.03228098,7199.5
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,IS2,0.4872617505,7199.5
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,IAC,3.457385658,7199.5
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,IS1,1.714639588,7199.5
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,BL1,11.1600242,7199.5
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,AOI,2.806296212,8432
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,BL2,9.899796316,8432
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,IS2,0.368224952,8432
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,IAC,1.849342735,8432
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,IS1,0.7501086528,8432
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,BL1,6.762589601,8432
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,AOI,2.689945596,14000.35
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,BL2,22.30300617,14000.35
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,IS2,4.557741536,14000.35
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,IAC,7.245381608,14000.35
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,IS1,5.614199822,14000.35
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,BL1,64.06007316,14000.35
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,AOI,1.692280228,8032.5
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,BL2,3.044366671,8032.5
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,IS2,2.366379556,8032.5
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,IAC,2.444962972,8032.5
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,IS1,1.923977465,8032.5
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,BL1,3.573980245,8032.5
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,AOI,2.076757351,8901.2
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,BL2,7.351976012,8901.2
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,IS2,3.297646308,8901.2
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,IAC,2.400511949,8901.2
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,IS1,1.637016664,8901.2
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,BL1,5.237027049,8901.2
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,AOI,1.020208276,8485.55
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,BL2,5.237363811,8485.55
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,IS2,1.170124013,8485.55
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,IAC,2.824828745,8485.55
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,IS1,2.228533446,8485.55
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,BL1,1.538855739,8485.55
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,AOI,4.96473014,11184.3
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,BL2,3.681846074,11184.3
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,IS2,3.8587155,11184.3
