quantity,manuscript,outputs,status,manuscript_source
n_images_test,122,122,match,record
n_implants_test,152,152,match,record
iou_sd,0.0936,0.0933,differs,supplement
iou_ci,0.8276-0.8589,0.8288-0.8579,differs,supplement
box_mAP50_95,0.786,0.7867,differs,supplement
box_mAP50_95_ci,0.76-0.8141,0.7599-0.8179,differs,supplement
pose_mAP50_95,0.9328,0.9332,differs,supplement
pose_mAP50_95_ci,0.9093-0.9536,0.9094-0.9539,differs,supplement
oks_fixed_mean,0.8808,0.8808,match,record
oks_fixed_median,0.9297,0.9297,match,record
oks_wilcoxon_stat,9951.0,9951.0,match,record
oks_empirical_mean,0.9487,0.9486,differs,record
oks_empirical_ci,0.9381-0.9589,0.9387-0.9572,differs,record
kpt_err_unfiltered_n,912,912,match,record
kpt_err_n_outliers,71,69,differs,record
kpt_err_unfiltered_mean,3.85,3.85,match,record
kpt_err_unfiltered_sd,7.65,7.65,match,record
kpt_err_filtered_mean,2.88,2.9,differs,record
kpt_err_filtered_sd,2.77,2.81,differs,record
kpt_err_unfiltered_ci,3.27-4.56,3.43-4.43,differs,record
kpt_err_filtered_ci,2.69-3.55,2.72-3.08,differs,record
mbl_MAE,5.39,5.39,match,record
mbl_MAE_ci,4.51-6.31,4.58-6.31,differs,record
mbl_RMSE,7.68,7.68,match,record
mbl_RMSE_ci,6.37-8.98,6.43-9.0,differs,record
mbl_r,0.7246,0.7246,match,record
mbl_r_ci,0.5946-0.8204,0.6392-0.7924,differs,record
mbl_wilcoxon_stat,5089.0,5089.0,match,record
mbl_ba_bias,-0.89,-0.89,match,record
mbl_ba_loa_low,-15.9,-15.9,match,record
mbl_ba_loa_high,14.11,14.11,match,record
mbl_zero_reference_proj,31,31,match,record
regression_slope,0.53,0.53,match,record
regression_intercept_pct,3.86,3.86,match,record
regression_r2,0.53,0.53,match,record
